20220930	11:42:45	7fba51bf-f3bc-493f-bd56-65685968fb94	GET	undefined	/subdir/css/style.css}
20220930	11:44:01	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/subdir/tests}
20220930	11:44:01	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/subdir/css/style.css}
20220930	12:54:43	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/subdir/tests}
20220930	12:54:43	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/subdir/css/style.css}
20220930	12:54:51	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/}
20220930	12:54:51	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/css/style.css}
20220930	12:54:58	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/new-page.html}
20220930	12:54:58	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/css/style.css}
20220930	12:54:58	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/img/img1.jpg}
20220930	12:55:03	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/new-page}
20220930	12:55:03	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/css/style.css}
20220930	12:55:03	243f677a-a25f-489e-b820-d780a2e761c8	GET	undefined	/img/img1.jpg}
20220930	19:53:30	6a1545c9-3125-46b0-8e8f-87718830856a	GET	undefined	/employees}
20220930	19:57:28	6a1545c9-3125-46b0-8e8f-87718830856a	POST	undefined	/employees?firstname=Kenny&lastName=Soyoye}
20220930	19:58:39	6a1545c9-3125-46b0-8e8f-87718830856a	POST	undefined	/employees}
20220930	19:59:04	6a1545c9-3125-46b0-8e8f-87718830856a	POST	undefined	/employees}
20220930	19:59:24	6a1545c9-3125-46b0-8e8f-87718830856a	POST	undefined	/employees}
20220930	20:00:10	6a1545c9-3125-46b0-8e8f-87718830856a	DELETE	undefined	/employees}
20221003	09:18:03	846a5cac-b7ce-44dd-9aac-9b2cfe6a4fc5	PUT	undefined	/employees}
20221003	09:18:17	846a5cac-b7ce-44dd-9aac-9b2cfe6a4fc5	PUT	undefined	/employees}
20221003	09:18:26	846a5cac-b7ce-44dd-9aac-9b2cfe6a4fc5	PUT	undefined	/employees}
20221003	09:19:39	846a5cac-b7ce-44dd-9aac-9b2cfe6a4fc5	DELETE	undefined	/employees}
20221003	09:20:47	846a5cac-b7ce-44dd-9aac-9b2cfe6a4fc5	GET	undefined	/employees/1}
20221003	09:20:59	846a5cac-b7ce-44dd-9aac-9b2cfe6a4fc5	GET	undefined	/employees/2}
20221003	10:16:09	1b48b9d9-b45d-4e65-9cc5-7f197e3fc549	GET	undefined	/employees}
20221003	10:16:12	1b48b9d9-b45d-4e65-9cc5-7f197e3fc549	GET	undefined	/favicon.ico}
20221003	10:18:36	1b48b9d9-b45d-4e65-9cc5-7f197e3fc549	GET	undefined	/employees/1}
